LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price(€),Ext.Price(€),Product Link
C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,0402,,10V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05a105kp5nnnc_C14445.html
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0048,0.48,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a106kp8nnnc_C19702.html
C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05b103kb5nnnc_C15195.html
C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,0402,,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0049,0.49,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05a475mp5nrnc_C23733.html
C392963,TCC0402X7R104K160AT,CCTC,0402,,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_cctc-tcc0402x7r104k160at_C392963.html
C19171394,YLED0603B,YONGYUTAI,0603,,30mA -40℃~+85℃ 460nm~475nm Blue 120° 2.6V~3.2V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/led-indication-discrete_yongyutai-yled0603b_C19171394.html
C19171390,YLED0603R,YONGYUTAI,0603,,25mA -40℃~+85℃ 620nm~625nm Red 1.8V~2.4V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/led-indication-discrete_yongyutai-yled0603r_C19171390.html
C5128403,CPDQC3V3C-HF,Leiditech,DFN1006,,DFN1006 ESD and Surge Protection (TVS/ESD) ROHS,yes,50,10,0.0188,0.94,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_leiditech-cpdqc3v3c-hf_C5128403.html
C5268312,STPS360AFY,STMicroelectronics,SOD-128,,60V 3A 610mV@3A SOD-128 Schottky Diodes ROHS,yes,5,5,0.2248,1.12,https://www.lcsc.com/product-detail/schottky-diodes_stmicroelectronics-stps360afy_C5268312.html
C2926834,SMAJ6.5CA/TR13,Brightking,SMA(DO-214AC),,35.7A 400W 11.2V 7.22V Bidirectional 6.5V SMA(DO-214AC) ESD and Surge Protection (TVS/ESD) ROHS,yes,10,10,0.0351,0.35,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_brightking-smaj6-5ca-tr13_C2926834.html
C2927030,USB-TYPE-C-010,DEALON,SMD,,5A 1 Horizontal attachment 6P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS,yes,10,10,0.0312,0.31,https://www.lcsc.com/product-detail/usb-connectors_dealon-usb-type-c-010_C2927030.html
C916396,2N7002,JSMSEMI,SOT-23,,"60V 115mA 1.2Ω@10V,500mA 200mW 2.1V@250uA 1 N-Channel SOT-23 MOSFETs ROHS",yes,50,50,0.0081,0.41,https://www.lcsc.com/product-detail/mosfets_jsmsemi-2n7002_C916396.html
C55059,MMUN2211LT1G,onsemi,SOT-23,,"35@5mA,10V 246mW 100mA 50V SOT-23 Digital Transistors ROHS",yes,20,20,0.0225,0.45,https://www.lcsc.com/product-detail/digital-transistors_onsemi-mmun2211lt1g_C55059.html
C138017,RC0402FR-072K7L,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2.7kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-072k7l_C138017.html
C11702,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf1001tce_C11702.html
C60490,RC0402FR-0710KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-0710kl_C60490.html
C25076,0402WGF1000TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 100Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf1000tce_C25076.html
C21376,0402WGJ0000TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±5% 0Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0004,0.04,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgj0000tce_C21376.html
C25905,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf5101tce_C25905.html
C60491,RC0402FR-07100KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-07100kl_C60491.html
C25104,0402WGF3300TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 330Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf3300tce_C25104.html
C231329,B3U-1000P,Omron Electronics,"SMD,2.5x3mm",,"2.5mm 1.6mm Round Button 50mA Standing paste 3mm SPST 153gf 12V SMD,2.5x3mm Tactile Switches ROHS",yes,5,5,0.1384,0.69,https://www.lcsc.com/product-detail/tactile-switches_omron-electronics-b3u-1000p_C231329.html
C19271988,GAQY212GSX,SUPSiC,SOP-4,,1.32V 60V 180mΩ 1A SOP-4 Solid State Relays (MOS Output) ROHS,yes,3,1,0.4341,1.30,https://www.lcsc.com/product-detail/solid-state-relays-mos-output_supsic-gaqy212gsx_C19271988.html
C5885439,HY48MSMD3225-3.3V,Huiyuan crystal,"SMD,3225-4P",,"SMD,3225-4P Crystal Oscillators ROHS",yes,3,1,0.2416,0.72,https://www.lcsc.com/product-detail/crystal-oscillators_huiyuan-crystal-hy48msmd3225-3-3v_C5885439.html
C76886,BLM15AX601SN1D,Murata Electronics,0402,,340mΩ ±25% 600Ω@100MHz 0402 Ferrite Beads ROHS,yes,100,100,0.0060,0.60,https://www.lcsc.com/product-detail/ferrite-beads_murata-electronics-blm15ax601sn1d_C76886.html
C2999380,W25Q32JVUUIQ,Winbond Elec,USON-8(3x4),,USON-8(3x4) NOR FLASH ROHS,yes,3,1,0.3970,1.19,https://www.lcsc.com/product-detail/nor-flash_winbond-elec-w25q32jvuuiq_C2999380.html
C20617301,SPX3819M5-L-3-3,TECH PUBLIC,SOT-23-5,,"500mA 70dB@(1kHz) Fixed 3.3V Positive electrode 20V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,5,5,0.0758,0.38,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_tech-public-spx3819m5-l-3-3_C20617301.html
C22371297,PSC-1608U52GC-G4,HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)),0603,,Green 0603 LED Indication - Discrete ROHS,yes,50,50,0.0076,0.38,https://www.lcsc.com/product-detail/led-indication-discrete_honglitronic-hongli-zhihui-honglitronic-psc-1608u52gc-g4_C22371297.html
C98303,UPZ1608E300-5R0TF,Sunlord,0603,,10mΩ ±25% 30Ω@100MHz 0603 Ferrite Beads ROHS,yes,100,100,0.0058,0.58,https://www.lcsc.com/product-detail/ferrite-beads_sunlord-upz1608e300-5r0tf_C98303.html
C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,0603,,10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0117,0.59,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a226mp8nune_C86295.html
C4748728,2N7002-HXY,HXY MOSFET,SOT-23,,"60V 300mA 350mW 2Ω@10V,0.5A 1.9V@250uA 1 N-Channel SOT-23 MOSFETs ROHS",yes,20,20,0.0087,0.17,https://www.lcsc.com/product-detail/mosfets_hxy-mosfet-2n7002-hxy_C4748728.html
